Title: MALT90 Kinematic Distances to Dense Molecular Clumps 
Authors: Whitaker J.S., Jackson J.M., Rathborne J.M., Foster J.B., 
         Contreras Y., Sanhueza P., Stephens I.W., Longmore S.N. 
Table: Results of the kinematic distance analysis
http://iopscience.iop.org/1538-3881/154/4/140/suppdata/ajaa86adt1_mrt.txt
================================================================================
Byte-by-byte Description of file: ajaa86adt1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label Explanations
--------------------------------------------------------------------------------
   1- 20 A20    ---     Name  Clump name
  21- 29 F9.3   deg     GLON  Galactic longitude
  30- 37 F8.3   deg     GLAT  Galactic latitude
  38- 46 F9.2   km/s    Rvel  Radial velocity
  47- 55 F9.2   km/s    Tvel  Tangent velocity
  56- 61 F6.2   kpc     Rgal  Galactocentric radius
  62- 67 F6.2   kpc     Kdt   Kinematic distance to tangent point
  68- 73 F6.2   kpc     Kdn   Near kinematic distance
  74- 79 F6.2   kpc   b_Kdn   Lower boundary range to Kdn
  80- 85 F6.2   kpc   B_Kdn   Upper boundary range to Kdn 
  86- 91 F6.2   kpc     Kdf   Far kinematic distance
  92- 97 F6.2   kpc   b_Kdf   Lower boundary range to Kdf
  98-103 F6.2   kpc   B_Kdf   Upper boundary range to Kdf
 104-109 F6.2   ---     PHISA Probability of a HISA absoprtion dip
 110-118 F9.2   km/s    Mabsv Minimum velocity of significant absorption
 119-122 I4     ---     Dcode Analysis process flag (1)
 123-127 A5     ---     Dflag Kinematic distance ambiguity resolution flag (1)
 128-131 I4     ---     Dqual Integer flag for near/far ambiguity resolution (2)
 132-138 F7.2   kpc     Dbest Best guess for kinematic distance
 139-145 F7.2   kpc   b_Dbest Lower boundary range to Dbest
 146-152 F7.2   kpc   B_Dbest Upper boundary range to Dbest
--------------------------------------------------------------------------------
Note (1): Dcode and Dflag = explanation.
    -1 and IM = off-sign velocity that is impossible in this rotation model.
     1 and FO = velocity is off-sign but possible in rotation model; 
                kd beyond solar circle.
     2 and BT = velocity is beyond tangent velocity; kdn=kdf=kdt
    11 and N  = low continuum; highish HISA probability, near favored.
    12 and F  = low continuum; lowish HISA probability, far favored.
    21 and N  = significant continuum; absorption near source velocity, 
                near favored; single-velocity group.
    22 and N  = significant continuum; absorption near source velocity,
                near favored; multiple-velocity group, possible confusion.
    23 and F  = significant continuum; absorption near tangent velocity, 
                far favored; single-velocity group.
    24 and F  = significant continuum; absorption near tangent velocity, 
                far favored; multiple-velocity group, possible confusion.
Note (2): From 0 to 9 where a larger value indicating higher confidence in the 
          reliability of the near/far distance resolution. We consider the 
          ambiguity resolution for sources with dqual less than 4 to be dubious.
--------------------------------------------------------------------------------    
Name GLON      GLAT Rvel      Tvel Rgal Kdt  Kdn  b_Kdn  B_Kdn    Kdf  b_Kdf  B_Kdf  PHISA Mabsv Dcode Dflag Dqual Dbest b_Dbest  B_Dbest 
AGAL299.597+00.171_S  299.597   0.171    -7.60   -27.91  8.17  4.20  0.72  0.06  1.46  7.67  6.94  8.34  0.59     9.89  11    N   4   0.72   0.06   1.46
AGAL300.164-00.087_S  300.164  -0.087   -39.47   -28.96  7.00  4.27  4.27  4.27  4.27  4.27  4.27  4.27  0.00   -32.15   2   BT   7   4.27   4.27   4.27
AGAL300.218-00.111_S  300.218  -0.111   -40.31   -29.06  6.98  4.28  4.28  4.28  4.28  4.28  4.28  4.28  0.00   -36.28   2   BT   7   4.28   4.28   4.28
AGAL300.323-00.199_S  300.323  -0.199   -37.52   -29.26  7.06  4.29  4.29  4.29  4.29  4.29  4.29  4.29  0.10   -15.66   2   BT   7   4.29   4.29   4.29
AGAL300.341-00.214_S  300.341  -0.214   -38.57   -29.30  7.03  4.29  4.29  4.29  4.29  4.29  4.29  4.29  0.40   -15.66   2   BT   7   4.29   4.29   4.29
AGAL300.381-00.287_S  300.381  -0.287    31.63   -29.37 10.24  4.30 -9.99  0.00 -9.99 11.45 10.80 12.13  0.82   -38.75   1   FO   9  11.45  10.80  12.13
AGAL300.403+00.544_S  300.403   0.544   -34.79   -29.41  7.15  4.30  4.30  3.39  4.30  4.30  4.30  5.21  0.08   -46.17   2   BT   7   4.30   4.30   5.21
AGAL300.456-00.189_S  300.456  -0.189    26.55   -29.51  9.92  4.31 -9.99  0.00 -9.99 11.00 10.36 11.65  0.91   -25.56   1   FO   9  11.00  10.36  11.65
AGAL300.491-00.176_A  300.491  -0.176     8.82   -29.58  8.93  4.31 -9.99  0.00 -9.99  9.41  8.79 10.03  0.94   -46.17   1   FO   7   9.41   8.79  10.03
AGAL300.491-00.176_B  300.491  -0.176    27.87   -29.58 10.00  4.31 -9.99  0.00 -9.99 11.13 10.49 11.79  0.96   -46.17   1   FO   9  11.13  10.49  11.79
AGAL300.503-00.191_A  300.503  -0.191     9.96   -29.60  8.98  4.31 -9.99  0.00 -9.99  9.52  8.89 10.14  0.92   -44.52   1   FO   7   9.52   8.89  10.14
AGAL300.503-00.191_B  300.503  -0.191    27.34   -29.60  9.97  4.31 -9.99  0.00 -9.99 11.08 10.44 11.74  0.96   -44.52   1   FO   9  11.08  10.44  11.74
AGAL300.504-00.176_A  300.504  -0.176     8.56   -29.60  8.91  4.31 -9.99  0.00 -9.99  9.39  8.77 10.01  0.66   -30.50   1   FO   7   9.39   8.77  10.01
AGAL300.504-00.176_B  300.504  -0.176    27.40   -29.60  9.97  4.31 -9.99  0.00 -9.99 11.09 10.45 11.75  0.89   -30.50   1   FO   9  11.09  10.45  11.75
AGAL300.721+01.201_S  300.721   1.201   -43.47   -30.01  6.87  4.34  4.34  4.34  4.34  4.34  4.34  4.34  0.45   199.00   2   BT   7   4.34   4.34   4.34
AGAL300.748+00.097_S  300.748   0.097   -36.85   -30.06  7.08  4.35  4.35  4.02  4.35  4.35  4.35  4.67  0.63    19.79   2   BT   7   4.35   4.35   4.67
AGAL300.826+01.152_S  300.826   1.152   -43.51   -30.21  6.87  4.36  4.36  4.36  4.36  4.36  4.36  4.36  0.66    69.25   2   BT   7   4.36   4.36   4.36
AGAL300.911+00.881_S  300.911   0.881   -41.17   -30.38  6.94  4.37  4.37  4.37  4.37  4.37  4.37  4.37  0.54   199.00   2   BT   7   4.37   4.37   4.37
AGAL300.918+00.889_S  300.918   0.889   -40.41   -30.39  6.96  4.37  4.37  4.37  4.37  4.37  4.37  4.37  0.32   199.00   2   BT   7   4.37   4.37   4.37
AGAL300.919+00.904_S  300.919   0.904   -41.72   -30.39  6.92  4.37  4.37  4.37  4.37  4.37  4.37  4.37  0.54   -41.22   2   BT   7   4.37   4.37   4.37
AGAL300.943+00.906_S  300.943   0.906   -41.10   -30.44  6.94  4.37  4.37  4.37  4.37  4.37  4.37  4.37  0.65   -42.05   2   BT   7   4.37   4.37   4.37
AGAL300.951+00.894_S  300.951   0.894   -40.19   -30.45  6.97  4.37  4.37  4.37  4.37  4.37  4.37  4.37  0.43   -41.22   2   BT   7   4.37   4.37   4.37
AGAL300.969+01.146_S  300.969   1.146   -42.93   -30.49  6.89  4.37  4.37  4.37  4.37  4.37  4.37  4.37  0.20   -47.82   2   BT   7   4.37   4.37   4.37
AGAL300.996+01.112_S  300.996   1.112   -42.17   -30.54  6.91  4.38  4.38  4.38  4.38  4.38  4.38  4.38  0.10   199.00   2   BT   7   4.38   4.38   4.38
AGAL301.014+01.114_S  301.014   1.114   -42.18   -30.57  6.91  4.38  4.38  4.38  4.38  4.38  4.38  4.38  0.39   199.00   2   BT   7   4.38   4.38   4.38
AGAL301.081+00.936_S  301.081   0.936   -39.03   -30.70  7.01  4.39  4.39  4.39  4.39  4.39  4.39  4.39  0.12   199.00   2   BT   7   4.39   4.39   4.39
